molregno,standard_value,standard_type,standard_units,canonical_smiles,mw_freebase,alogp,hba,hbd,rtb,qed_weighted,active
1634114,0.74,IC50,nM,O=c1c2cnc3cccc(O)c3c2[nH]n1-c1ccccc1,277.28,2.57,4.0,2.0,1.0,0.56,1
942456,1.0,IC50,nM,CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC,390.44,4.62,5.0,1.0,7.0,0.47,1
1633993,1000000.0,IC50,nM,O=c1c2cnc3cccc(OCc4ccccc4)c3c2[nH]n1-c1ccccc1,367.41,4.45,4.0,1.0,4.0,0.51,0
1633991,0.68,IC50,nM,COc1cccc2ncc3c(=O)n(-c4ccccc4)[nH]c3c12,291.31,2.88,4.0,1.0,2.0,0.62,1
1634151,3.7,IC50,nM,O=c1c2cnc3ccc(OCc4ccccc4)cc3c2[nH]n1-c1ccccc1,367.41,4.45,4.0,1.0,4.0,0.51,1
1633990,1000.0,IC50,nM,O=c1c2cnc3c(OCc4ccccc4)cccc3c2[nH]n1-c1ccccc1,367.41,4.45,4.0,1.0,4.0,0.51,1
1633994,52.3,IC50,nM,O=c1c2cnc3ccc(OCc4ccccc4)cc3c2[nH]n1-c1ccc(Cl)cc1,401.85,5.1,4.0,1.0,4.0,0.46,1
9842,5.0,IC50,nM,CCOC(=O)c1cc2c3ccccc3nc-2c[nH]1,240.26,2.84,3.0,1.0,2.0,0.7,1
721,20.6,IC50,nM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.75,3.15,2.0,0.0,1.0,0.79,1
7395,0.5,IC50,nM,CCOC(=O)c1[nH]cc2nc3ccc(OC)cc3c-2c1COC,314.34,3.0,5.0,1.0,5.0,0.73,1
1633992,1000.0,IC50,nM,O=c1c2cnc3cc(OCc4ccccc4)ccc3c2[nH]n1-c1ccccc1,367.41,4.45,4.0,1.0,4.0,0.51,1
23546,0.4,IC50,nM,O=C1C2C=Nc3ccccc3C2=NN1c1ccccc1,261.28,2.77,3.0,0.0,1.0,0.78,1
90668,100000.0,IC50,nM,Cc1nc2c(c(N)c1C(=O)O)c1ccccc1n2C,255.28,2.32,4.0,2.0,1.0,0.7,0
140751,100000.0,IC50,nM,CC1CCc2nc3c(c(N)c2C1=O)c1ccccc1n3C,279.34,3.07,4.0,1.0,0.0,0.69,0
157169,100000.0,IC50,nM,CCC(=O)c1c(C)nc2c(c1N)c1ccccc1n2C,267.33,3.21,4.0,1.0,2.0,0.73,0
91152,100000.0,IC50,nM,CCOC(=O)c1c(C)nc2c(c1N)c1ccccc1n2C,283.33,2.79,5.0,1.0,2.0,0.73,0
76462,13000.0,IC50,nM,CNc1ncnc2c1ncn2Cc1ccccc1F.CS(=O)(=O)O,257.27,2.06,5.0,1.0,3.0,0.78,0
449278,5.0,IC50,nM,COC(=O)c1cc2c(cn1)[nH]c1ccccc12,226.24,2.5,3.0,1.0,1.0,0.65,1
23470,0.5998,IC50,nM,O=C1C2C=Nc3ccccc3C2=NN1c1ccc(Cl)cc1,295.73,3.42,3.0,0.0,1.0,0.79,1
83727,1698.24,IC50,nM,CCOC(=O)c1cc2c(cn1)sc1ccccc12,257.31,3.63,4.0,0.0,2.0,0.66,1
106266,244.91,IC50,nM,CCCCc1cc2c3ccccc3nc-2c[nH]1,224.31,4.01,1.0,1.0,3.0,0.72,1
106630,1918.67,IC50,nM,Cn1c2ccccc2c2c1cnc1c3ccccc3n(C)c12,285.35,4.37,3.0,0.0,0.0,0.41,1
106631,157.04,IC50,nM,Cn1c2ccccc2c2[nH]cc3nc4ccccc4c-3c21,271.32,4.31,2.0,1.0,0.0,0.45,1
106004,2398.83,IC50,nM,CCOC(=O)c1cc2c(cn1)nc(O)c1ccccc12,268.27,2.67,5.0,1.0,2.0,0.57,1
105893,749.89,IC50,nM,CC(C)(C)COC(=O)c1cc2c3ccccc3nc-2c[nH]1,282.34,3.87,3.0,1.0,2.0,0.73,1
9837,12387.97,IC50,nM,Cc1nccc2c1[nH]c1ccccc12,182.23,3.02,1.0,1.0,0.0,0.57,0
105896,97.95,IC50,nM,CCCCOc1cc2c3ccccc3nc-2c[nH]1,240.31,3.85,2.0,1.0,4.0,0.7,1
106606,250034.54,IC50,nM,CCc1nccc2c1[nH]c1ccccc12,196.25,3.28,1.0,1.0,1.0,0.64,0
82581,44.98,IC50,nM,Clc1cc2c3ccccc3nc-2c[nH]1,202.64,3.32,1.0,1.0,0.0,0.56,1
82471,23.99,IC50,nM,CCOc1cc2c3ccccc3nc-2c[nH]1,212.25,3.07,2.0,1.0,2.0,0.71,1
106311,2.799,IC50,nM,CCCC(=O)c1cc2c3ccccc3nc-2c[nH]1,238.29,3.65,2.0,1.0,3.0,0.71,1
106854,223.87,IC50,nM,Cc1ccc2[nH]c3c4c5ccccc5nc-4c[nH]c3c2c1,271.32,4.61,1.0,2.0,0.0,0.42,1
106451,10.0,IC50,nM,CC(C)(C)OC(=O)c1cc2c3ccccc3nc-2c[nH]1,268.32,3.62,3.0,1.0,1.0,0.69,1
1634030,0.1,IC50,nM,COc1ccc(-n2[nH]c3c(cnc4ccccc43)c2=O)cc1,291.31,2.88,4.0,1.0,2.0,0.62,1
106019,250.03,IC50,nM,COc1cccc2[nH]c3c4c5ccccc5nc-4c[nH]c3c12,287.32,4.31,2.0,2.0,1.0,0.48,1
82575,11.02,IC50,nM,CCCOc1cc2c3ccccc3nc-2c[nH]1,226.28,3.46,2.0,1.0,3.0,0.74,1
105741,9204.5,IC50,nM,CCOC(=O)c1cc2c(cn1)oc1ccccc12,241.25,3.16,4.0,0.0,2.0,0.65,0
106005,500.03,IC50,nM,CC(C)Oc1cc2c3ccccc3nc-2c[nH]1,226.28,3.45,2.0,1.0,2.0,0.73,1
105907,5000.35,IC50,nM,CCOC(=O)c1cc2c3ccccc3c(N=O)c-2c[nH]1,268.27,3.85,4.0,1.0,3.0,0.58,0
83078,1972.42,IC50,nM,c1ccc2c(c1)[nH]c1c2ccc2[nH]c3ccccc3c21,256.31,4.96,0.0,2.0,0.0,0.39,1
106855,10.0,IC50,nM,Cc1ccc2c(c1)[nH]c1c3c4ccccc4nc-3c[nH]c12,271.32,4.61,1.0,2.0,0.0,0.42,1
106892,6854.88,IC50,nM,Cc1cccc2[nH]c3c4c5ccccc5nc-4c[nH]c3c12,271.32,4.61,1.0,2.0,0.0,0.42,0
9895,1621.81,IC50,nM,c1ccc2c(c1)[nH]c1cnccc12,168.2,2.72,1.0,1.0,0.0,0.55,1
105944,680.77,IC50,nM,CCOC(=O)c1cc2c(cn1)Cc1ccccc1-2,239.27,2.83,3.0,0.0,2.0,0.65,1
9782,7533.56,IC50,nM,CCc1[nH]c(C(=O)OC)cc2c3ccccc3nc1-2,254.29,3.02,3.0,1.0,2.0,0.72,0
82121,123.88,IC50,nM,COc1cc2c3ccccc3nc-2c[nH]1,198.22,2.68,2.0,1.0,1.0,0.65,1
